,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-15
prediction1,287.34213846034595,268.06549187036387,254.32159357825526,256.8351888703096,247.87132088383396,263.2536642016183,243.86452122215061,257.0914457937587,253.73975867034517,261.4465430587575,260.0424448403729,253.9955718682114,241.49111488955924,243.37714032083065,261.1477809809128,256.53665669150587,244.34732222672528,256.75039588545627,255.2536715481724,268.0423805628432,254.78826185507216,239.10978702736685,250.97381492266888,245.8786926204259,243.82430058223883,244.40601710827013,239.55613990828647,244.6583836323179,247.05415029365292,253.53244917702216
prediction2,292.2132704952126,285.8689147710432,262.1684860670456,269.43427424978876,267.51957192823784,274.6331986123487,274.05719246370086,262.57672089011214,281.31096378168684,271.7016167587078,266.3130675091158,260.6640871356073,266.0048234698219,266.1482456486535,269.27692265692684,271.9841008465985,277.13642008249457,260.17097371859694,251.01335096670192,269.02522063646614,275.93493823526467,271.84282850419925,265.34271071611477,263.5952720143158,256.3683205514478,266.67862380949634,263.1977288973569,260.8945092961859,271.4185124249956,260.54850855206547
prediction3,286.97479450415,269.6303306719971,277.39370185140706,274.9913512647269,283.93200185239664,274.15889589291913,274.4885421136084,274.9833526056725,272.4708229047572,256.2659656120096,256.6496671710239,288.5718359432764,280.31149465388495,268.71402466758025,275.49594507355664,269.3167270384406,274.8467645335845,298.69867201413666,284.8245536797224,276.97310552933743,273.12557720821775,280.0181004306128,272.10181244315055,283.83089590400857,289.1145269910407,278.67097506344055,286.4876891595713,278.82453039951895,288.57787015637086,289.7349684256325
prediction4,317.62155980357454,315.9834394260911,306.68147017671663,318.7427745256245,315.3093944726413,295.9011451315291,310.01502031717916,320.7979126353091,311.55643972393943,313.5907667447241,324.64269913342923,332.34664593668975,331.156220190323,318.344054187118,306.3888504489597,323.59870572937535,318.70781801060735,331.263123661029,317.0071358054124,342.19924552348976,325.59622761937294,304.4526275555262,311.2527331370106,320.76336511844363,324.12128297052965,325.7283763455217,339.10592581829025,331.2548785179871,344.294553803504,338.99012760433567
prediction5,283.42109274637954,278.6703181259997,276.92842034379146,273.38722905778735,279.9591987111087,275.041244509158,266.609755698543,261.4973826777044,260.541067894432,257.90688696686414,264.19453636164656,257.43303906427377,262.76172380002305,264.46327039108263,275.23268339486594,280.1340697719206,265.81770862083283,264.0158406881709,278.6144228067463,263.5947180118103,269.8138001449686,272.83224903606714,264.78187997956076,266.76963726526196,271.25939468397405,267.7714930857828,272.6930600162032,262.78144818710336,266.81959562053396,274.56683488354116
Current/Real Values,293.160004,297.559998,300.630005,303.73999,310.130005,315.01001,311.410004,307.649994,309.540009,307.709991,314.959991,313.140015,319.230011,316.850006,318.890015,316.730011,318.109985,318.25,317.940002,321.850006,323.339996,325.119995,322.320007,331.5,333.459991,343.98999,352.839996,335.899994,338.799988,342.98999
