Date,Open,Close,High,Low,Volume
2019-02-14,3608.34,3590.56,3626.4,3568.11,21753.501261
2019-02-15,3590.57,3602.47,3653.23,3573.45,20777.872899
2019-02-16,3602.49,3618.41,3648.2,3597.91,19565.992751
2019-02-17,3617.22,3667.58,3700.11,3604.4,25690.227779
2019-02-18,3667.62,3898.6,3925,3655,64042.730492
2019-02-19,3897.35,3907.79,3994.52,3856,50207.172667
2019-02-20,3907.35,3969.74,3986.98,3870.66,36205.14085
2019-02-21,3969.74,3937.31,4016.48,3901.03,31103.884728
2019-02-22,3937.31,3962,3988,3926.65,23943.16375
2019-02-23,3962,4117.76,4162.02,3933.15,33657.942883
2019-02-24,4118,3743.56,4198,3712.66,62224.18689
2019-02-25,3743.56,3827.92,3872.66,3740,38102.966245
2019-02-26,3828.44,3809.23,3841.51,3777,28838.748036
2019-02-27,3809.31,3818.07,3838.85,3677.17,31500.995466
2019-02-28,3818.04,3813.69,3888,3763.87,32561.961044
2019-03-01,3814.26,3823,3857,3813.01,23174.57217
2019-03-02,3822.17,3819.93,3841.31,3772.25,19445.838355
2019-03-03,3819.97,3807.75,3835,3781.32,16718.16541
2019-03-04,3807.32,3715.3,3830,3670.69,34742.84166
2019-03-05,3716.1,3857.73,3877.1,3703.55,32962.536162
2019-03-06,3857.58,3861.84,3907,3813.09,24775.11883
2019-03-07,3861.84,3873.64,3905.4,3840.4,26455.257661
2019-03-08,3873.63,3864.89,3932,3800,34730.366592
2019-03-09,3864.88,3943.04,3971.75,3854.75,30979.747653
2019-03-10,3943.43,3916.82,3943.43,3881.69,23187.561412
2019-03-11,3915.99,3871.61,3936.98,3830,38066.885705
2019-03-12,3871.61,3882.73,3905.2,3826.06,26921.008622
2019-03-13,3882.69,3866,3893.56,3840,24461.008757
2019-03-14,3866,3877.12,3920,3810.43,27048.74853
2019-03-15,3877.12,3923.76,3939.22,3872.2,21740.061498
2019-03-16,3924.46,4005.98,4056.98,3921.98,28568.376124
2019-03-17,4005.98,3981.14,4012,3950.01,18814.255577
2019-03-18,3981.85,3987.81,4037,3953.33,22454.47801
2019-03-19,3987.83,4015.53,4031,3970,19893.741815
2019-03-20,4017.48,4043.04,4050,3980.5,23432.300255
2019-03-21,4043.04,3980.64,4069.32,3880.01,35997.682119
2019-03-22,3980.85,3986.93,4008,3968.25,20022.606318
2019-03-23,3987.89,4006.01,4018.83,3978.01,17302.604318
2019-03-24,4006.01,3992.18,4006.02,3950,17179.850648
2019-03-25,3991.35,3936.12,3999.3,3888.71,33192.890217
2019-03-26,3935.47,3948.55,3958.98,3894,29349.537627
2019-03-27,3948.77,4038.05,4048,3936.15,32364.555852
2019-03-28,4039.58,4027.81,4039.7,4002,20089.293875
2019-03-29,4028.22,4103.25,4123.71,4024.03,30084.217444
2019-03-30,4104.24,4106.97,4140,4052,19509.292601
2019-03-31,4106.99,4103.95,4116.12,4082.57,13525.087433
2019-04-01,4102.44,4144.56,4158.7,4067,25507.067641
2019-04-02,4144.54,4857.29,4897.99,4140.54,105383.639263
2019-04-03,4857.19,4932.6,5275.01,4753.5,109890.125743
2019-04-04,4932.59,4898.66,5039.08,4777,61054.254168
2019-04-05,4898.64,5004.95,5028.22,4880.62,39768.552806
2019-04-06,5004.96,5043.89,5205,4928.59,41770.842313
2019-04-07,5042.07,5170.27,5234,5026,37615.486804
2019-04-08,5170.27,5236.9,5305,5039,50178.430782
2019-04-09,5238.38,5150,5238.4,5076.68,34067.012311
2019-04-10,5150,5308.25,5422,5135,40073.620471
2019-04-11,5307.86,5017.37,5332.67,4927,54696.600686
2019-04-12,5017.37,5048.01,5080.58,4861.22,33276.678614
2019-04-13,5047,5045.22,5099,5004,17292.456802
2019-04-14,5047.45,5131.3,5152.99,5000,18281.607739
2019-04-15,5131.28,5024.95,5167.38,4950,29057.191581
2019-04-16,5024.95,5173.72,5197.72,5003.94,24242.229493
2019-04-17,5173.72,5202.82,5230.4,5146.8,23307.536134
2019-04-18,5202.41,5258.44,5287,5198.8,22619.239001
2019-04-19,5258.44,5258.68,5320,5175,24611.236323
2019-04-20,5258.68,5291.73,5333.42,5230.1,19168.908274
2019-04-21,5292.91,5256.14,5314.35,5165,25549.570939
2019-04-22,5257.41,5357.14,5400,5208.35,29563.852309
2019-04-23,5357.14,5493.31,5600,5332.41,41262.103917
2019-04-24,5490.91,5415,5582.2,5333.35,48224.152413
2019-04-25,5415,5219.9,5491.84,5102,49636.089948
2019-04-26,5220.47,5314.1,5510,5161.62,48912.294513
2019-04-27,5315,5295.69,5342.5,5257.67,15422.896935
2019-04-28,5295.69,5307.52,5340,5259.48,14371.433869
2019-04-29,5309.81,5238.14,5332,5178.8,19918.135079
2019-04-30,5238.14,5320.81,5339.98,5192.15,22238.06823
