Date,Close,RESULT
2018-01-02,1065.0,Buy
2018-01-03,1082.47998,Sell
2018-01-04,1086.400024,Buy
2018-01-05,1102.22998,Sell
2018-01-11,1105.52002,Buy
2018-01-12,1122.26001,Sell
2018-01-16,1121.76001,Buy
2018-01-17,1131.97998,Sell
2018-01-19,1137.51001,Buy
2018-01-22,1155.810059,Sell
2018-01-23,1169.969971,Buy
2018-01-24,1164.23999,Sell
2018-01-29,1175.579956,Buy
2018-01-30,1163.689941,Buy
2018-01-31,1169.939941,Sell
2018-02-01,1167.699951,Sell
2018-02-02,1111.900024,Buy
2018-02-06,1080.599976,Sell
2018-02-07,1048.579956,Buy
2018-02-08,1001.5200199999999,Buy
2018-02-12,1051.939941,Sell
2018-02-13,1052.099976,Buy
2018-02-14,1069.699951,Buy
2018-02-15,1089.52002,Sell
2018-02-16,1094.800049,Buy
2018-02-20,1102.459961,Buy
2018-02-21,1111.339966,Sell
2018-02-22,1106.630005,Sell
2018-02-23,1126.790039,Buy
2018-02-26,1143.75,Sell
2018-02-28,1104.72998,Buy
2018-03-05,1090.930054,Buy
2018-03-06,1095.060059,Buy
2018-03-09,1160.040039,Sell
2018-03-12,1164.5,Buy
2018-03-14,1149.48999,Sell
2018-03-15,1149.579956,Sell
2018-03-28,1004.5599980000001,Buy
2018-03-29,1031.790039,Buy
2018-04-02,1006.4699710000001,Buy
2018-04-03,1013.409973,Buy
2018-04-04,1025.140015,Sell
2018-04-05,1027.810059,Sell
2018-04-06,1007.0399779999999,Buy
2018-04-09,1015.4500119999999,Sell
2018-04-16,1037.97998,Buy
2018-04-17,1074.160034,Sell
2018-04-20,1072.959961,Buy
2018-04-23,1067.449951,Sell
2018-04-25,1021.179993,Buy
2018-04-26,1040.040039,Sell
2018-04-27,1030.050049,Buy
2018-05-07,1054.790039,Sell
2018-05-11,1098.26001,Buy
2018-05-14,1100.199951,Sell
2018-05-21,1079.579956,Buy
2018-05-22,1069.72998,Buy
2018-05-23,1079.689941,Buy
2018-05-31,1084.98999,Sell
2018-06-01,1119.5,Buy
2018-06-04,1139.290039,Sell
2018-06-05,1139.660034,Sell
2018-06-07,1123.859985,Buy
2018-06-08,1120.869995,Sell
2018-06-15,1152.26001,Buy
2018-06-18,1173.459961,Buy
2018-06-19,1168.060059,Buy
2018-06-21,1157.660034,Sell
2018-06-22,1155.47998,Buy
2018-06-25,1124.810059,Buy
2018-06-28,1114.219971,Sell
2018-07-02,1127.459961,Buy
2018-07-05,1124.27002,Buy
2018-07-06,1140.170044,Buy
2018-07-10,1152.839966,Sell
2018-07-11,1153.900024,Sell
2018-07-23,1205.5,Buy
2018-07-24,1248.079956,Buy
2018-07-25,1263.699951,Buy
2018-07-26,1268.329956,Sell
2018-07-27,1238.5,Buy
2018-07-30,1219.73999,Buy
2018-08-03,1223.709961,Sell
2018-08-07,1242.219971,Buy
2018-08-08,1245.609985,Buy
2018-08-13,1235.01001,Sell
2018-08-14,1242.099976,Sell
2018-08-15,1214.380005,Buy
2018-08-16,1206.48999,Buy
2018-08-20,1207.77002,Sell
2018-08-24,1220.650024,Buy
2018-08-27,1241.819946,Buy
2018-08-28,1231.150024,Buy
2018-08-29,1249.300049,Sell
2018-08-30,1239.119995,Sell
2018-08-31,1218.189941,Buy
2018-09-04,1197.0,Buy
2018-09-18,1161.219971,Sell
2018-09-19,1171.089966,Sell
2018-09-20,1186.869995,Buy
2018-09-21,1166.089966,Sell
2018-10-03,1202.949951,Buy
2018-10-04,1168.189941,Buy
2018-10-08,1148.969971,Sell
2018-10-10,1081.219971,Buy
2018-10-22,1101.160034,Sell
2018-10-23,1103.689941,Sell
2018-10-24,1050.709961,Buy
2018-10-25,1095.569946,Sell
2018-10-29,1020.080017,Buy
2018-10-31,1076.77002,Sell
2018-11-02,1057.790039,Buy
2018-11-06,1055.810059,Buy
2018-11-07,1093.390015,Buy
2018-11-08,1082.400024,Sell
2018-11-12,1038.630005,Sell
2018-11-13,1036.050049,Sell
2018-11-15,1064.709961,Buy
2018-11-23,1023.8800050000001,Buy
2018-11-27,1044.410034,Sell
2018-11-28,1086.22998,Sell
2018-12-04,1050.819946,Buy
2018-12-07,1036.579956,Buy
2018-12-11,1051.75,Sell
2018-12-12,1063.680054,Buy
2018-12-13,1061.900024,Buy
2018-12-14,1042.099976,Buy
2018-12-18,1028.709961,Sell
2018-12-19,1023.01001,Buy
2018-12-20,1009.409973,Buy
2018-12-24,976.2199710000001,Sell
2018-12-26,1039.459961,Sell
2018-12-27,1043.880005,Buy
2018-12-31,1035.609985,Sell
2019-01-08,1076.280029,Buy
2019-01-09,1074.660034,Sell
2019-01-11,1057.189941,Buy
2019-01-14,1044.689941,Buy
2019-01-16,1080.969971,Sell
2019-01-18,1098.26001,Sell
2019-01-23,1075.569946,Buy
2019-01-24,1073.900024,Sell
2019-01-31,1116.369995,Buy
2019-02-04,1132.800049,Sell
2019-02-07,1098.709961,Buy
2019-02-08,1095.060059,Sell
2019-02-11,1095.01001,Buy
2019-02-12,1121.369995,Buy
2019-02-13,1120.160034,Sell
2019-02-15,1113.650024,Buy
2019-02-22,1110.369995,Sell
2019-02-25,1109.400024,Sell
2019-02-26,1115.130005,Buy
2019-02-27,1116.050049,Buy
2019-03-01,1140.98999,Sell
2019-03-04,1147.800049,Sell
2019-03-08,1142.319946,Buy
2019-03-11,1175.76001,Buy
2019-03-12,1193.199951,Sell
2019-03-13,1193.319946,Buy
2019-03-14,1185.550049,Sell
2019-03-15,1184.459961,Sell
2019-03-18,1184.26001,Buy
2019-03-19,1198.849976,Buy
2019-03-20,1223.969971,Sell
2019-03-26,1184.619995,Buy
2019-03-27,1173.02002,Buy
