Date,True Close,Predicted Close
2010-08-12,246.25125099999997,246.2512464811214
2010-08-13,243.418411,513.8766810807673
2010-08-16,243.03804,617.238111269118
2010-08-17,245.50550800000002,417.05729459906553
2010-08-18,241.316315,528.2908900949009
2010-08-19,234.219223,536.0100066749862
2010-08-20,231.241241,443.84010215631076
2010-08-23,232.267273,429.40149171431057
2010-08-24,225.920914,532.2157123371159
2010-08-25,227.53753700000001,528.5117334648983
2010-08-26,225.71571400000002,632.4424064776388
2010-08-27,229.644638,502.17897089125574
2010-08-30,226.571579,544.0474330324753
2010-08-31,225.235229,529.6237513422527
2010-09-01,230.39540099999996,470.96569057085645
2010-09-02,231.821823,500.52359752735293
2010-09-03,235.38539100000003,532.81743622486
2010-09-07,232.43243399999997,527.7199291871028
2010-09-08,235.52552799999998,416.47154424354994
2010-09-09,238.328323,520.0033432974432
2010-09-10,238.308304,480.0658443857562
2010-09-13,241.376373,501.33980323301506
2010-09-14,240.45546000000002,429.985338247671
2010-09-15,240.560562,469.5003743796616
2010-09-16,240.770767,593.5793597817569
2010-09-17,245.320328,430.96877847752273
2010-09-20,254.394394,423.052198392199
2010-09-21,256.987,612.3628406419596
2010-09-22,258.25827000000004,513.8987839916417
2010-09-23,256.997009,532.6907856168558
2010-09-24,263.908905,515.8425864120499
2010-09-27,265.470459,530.2244768842326
2010-09-28,263.848846,496.21392460167743
2010-09-29,264.1091,543.1661955480744
2010-09-30,263.158173,585.377879676118
2010-10-01,263.073059,541.5461357634152
2010-10-04,261.43643199999997,619.5478654554953
2010-10-05,269.38439900000003,576.9324781611864
2010-10-06,267.44244399999997,520.5278927358737
2010-10-07,265.270264,654.5019473546739
2010-10-08,268.443451,555.1805670836114
2010-10-11,269.689697,555.414876512755
2010-10-12,270.965973,617.0250224918013
2010-10-13,271.92193599999996,606.8396203964361
2010-10-14,270.735748,525.9902835418058
2010-10-15,301.026031,592.039121223554
2010-10-18,309.164154,563.1940331427577
2010-10-19,304.219208,603.1851641175958
2010-10-20,304.294281,647.8632730649796
2010-10-21,306.3013,607.6094610674173
2010-10-22,306.571564,611.0460457962098
2010-10-25,308.558563,646.8249470354355
2010-10-26,309.609619,669.2255971210494
2010-10-27,308.54354900000004,619.2016484313782
2010-10-28,309.599609,647.7524799024872
2010-10-29,307.157166,662.9251530893578
2010-11-01,307.8078,634.2522448268857
2010-11-02,308.108093,673.3838697507038
2010-11-03,310.400391,631.8462315349566
2010-11-04,312.447449,651.7428447049946
2010-11-05,312.852844,663.1113561830688
2010-11-08,313.6987,669.3421946193806
2010-11-09,312.722717,657.319418405549
2010-11-10,311.75174,669.2542473227501
2010-11-11,308.9039,637.8731752619207
2010-11-12,301.94696,621.8526975650811
2010-11-15,298.03302,607.6128043648605
2010-11-16,292.152161,619.5641175958441
2010-11-17,292.067078,596.6400557216241
2010-11-18,298.578583,587.6257132077662
2010-11-19,295.710724,656.4531793249557
2010-11-22,295.905914,633.0727109150536
2010-11-23,291.796783,610.4727631540761
2010-11-24,297.78277599999996,611.5196331659749
2010-11-26,295.29528799999997,595.6139652320284
2010-11-29,291.346344,637.1214441187567
2010-11-30,278.133148,597.508430797806
2010-12-01,282.45745800000003,632.0848593899643
2010-12-02,286.196198,640.8624082189395
2010-12-03,286.78677400000004,626.8617465246539
2010-12-06,289.46948199999997,589.8982499927446
2010-12-07,293.863861,618.5144615027425
2010-12-08,295.565552,626.2619032417216
2010-12-09,296.046051,603.6819688307165
2010-12-10,296.401398,633.3958498998752
2010-12-13,297.607605,649.7572510665467
2010-12-14,297.752747,691.9434889862728
2010-12-15,295.44543500000003,655.5578256957948
2010-12-16,296.151154,683.719488057579
2010-12-17,295.69570899999997,658.6454073192675
2010-12-20,297.82782000000003,606.1039092201875
2010-12-21,301.836823,685.2973851467046
2010-12-22,303.048035,627.9374060423136
2010-12-23,302.417419,617.9938822300259
2010-12-27,301.491486,674.1839858374206
